SUBJECT;LABEL;ACURCY;DICE;FN;FP;HDRFDST;JACRD;REFVOL;SNSVTY;SPCFTY;TN;TP
CHUM-006;Nodal;0.9996752419354838;0.8589837868123402;2928;1099;6.4031242374328485;0.752823471642524;15193.0;0.8072796682682815;0.9999112622425202;12383708;12265
CHUM-006;Primary;0.999801935483871;0.7312322171153425;2324;132;7.0710678118654755;0.5763325858202518;5665.0;0.5897616946160635;0.9999893499731934;12394203;3341
CHUM-011;Nodal;0.9994775806451613;0.8188276093522765;3510;2968;6.082762530298219;0.6932329402850784;18149.0;0.806600914650945;0.9997602943210995;12378883;14639
CHUM-011;Primary;0.9990837903225807;0.8168142020993566;10769;592;7.54983443527075;0.6903515944399019;36098.0;0.7016732228932351;0.9999521186758031;12363310;25329
CHUM-014;Nodal;0.9995949193548387;0.7185205940039227;4887;136;9.0;0.5606961693195732;11298.0;0.5674455655868296;0.9999890222559232;12388566;6411
CHUM-014;Primary;0.9995124193548387;0.36757322175732215;5935;111;28.74021572639983;0.22516980648468538;7692.0;0.22841913676547063;0.9999910428307625;12392197;1757
CHUM-015;Nodal;0.999748306451613;0.5155983237622226;3119;2;7.810249675906654;0.34734420744458383;4780.0;0.34748953974895397;0.9999998386474787;12395218;1661
CHUM-015;Primary;0.9995425;0.3439343124783162;5523;150;18.973665961010276;0.20768156424581005;7010.0;0.21212553495007133;0.9999878963833586;12392840;1487
CHUM-039;Nodal;0.9984255645161291;0.6704367055487095;17495;2028;68.14690014960328;0.5042533201289963;37353.0;0.5316306588493561;0.9998359574612136;12360619;19858
CHUM-039;Primary;0.9998213709677419;0.8138811864549198;674;1541;31.32091952673165;0.686171720034004;5517.0;0.8778321551567881;0.9998756704898462;12392942;4843
CHUM-065;Nodal;0.9983802419354839;0.09579975689911313;17072;3013;40.47221268969612;0.05030970731476665;18136.0;0.05866784296426996;0.9997566602249871;12378851;1064
CHUM-065;Primary;0.9996023387096774;0.6557285484884452;237;4694;7.0;0.4877947439493092;4933.0;0.9519562132576526;0.999621300957873;12390373;4696
CHUP-012;Nodal;0.9991432258064517;0.49476887958911925;23;10601;62.8410693734599;0.3286996082396057;5225.0;0.9955980861244019;0.9991447202551075;12384174;5202
CHUP-012;Primary;0.9998691129032258;0.9119227220925815;915;708;2.8284271247461903;0.8381047381546135;9317.0;0.9017924224535795;0.9999428602926893;12389975;8402
CHUP-017;Nodal;0.9990071774193549;0.886602496200433;8691;3620;7.211102550927978;0.7963036500215096;56818.0;0.8470379105213137;0.9997067206819117;12339562;48127
CHUP-017;Primary;0.9997118548387097;0.6680293598439097;2164;1409;9.539392014169456;0.5015345982142857;5759.0;0.6242403194999132;0.9998863181698662;12392832;3595
CHUP-018;Nodal;0.998886935483871;0.8046149490373726;1500;12302;45.0;0.6731010634518367;29919.0;0.9498646345131856;0.9990055036826355;12357779;28419
CHUP-018;Primary;0.9994934677419355;0.2523509106058803;5218;1063;24.331050121192877;0.14439449666258003;6278.0;0.16884358075820324;0.999914230769417;12392659;1060
CHUP-020;Nodal;0.999754435483871;0.0;0;3045;inf;0.0;0.0;-inf;0.999754435483871;12396955;0
CHUP-020;Primary;0.9998162903225807;0.806061638004427;2191;87;6.48074069840786;0.6751283513976041;6925.0;0.6836101083032491;0.9999929799504965;12392988;4734
CHUP-023;Nodal;0.9993654032258065;0.7974256661088943;2025;5844;39.153543900903784;0.6630988568737424;17513.0;0.8843716096613944;0.9995280431144405;12376643;15488
CHUP-023;Primary;0.999538064516129;0.7089726653795346;1920;3808;9.643650760992955;0.5491538764266037;8897.0;0.7841969203102169;0.9996926827256621;12387295;6977
CHUP-024;Nodal;0.9999847580645161;0.6946688206785138;27;162;2.23606797749979;0.5321782178217822;242.0;0.8884297520661157;0.9999869352288973;12399596;215
CHUP-024;Primary;0.9994093548387096;0.8880635793978298;3409;3915;5.385164807134504;0.7986639909833136;32462.0;0.8949849054278849;0.999683445484461;12363623;29053
CHUP-025;Nodal;0.9985211290322581;0.30294967310323856;0;18338;142.96153328780437;0.17851543251355104;3985.0;1.0;0.9985206536132781;12377677;3985
CHUP-025;Primary;0.9991512096774193;0.6140022738108336;7691;2834;57.113921245174545;0.4430038103302286;16062.0;0.5211679741003611;0.999771155185047;12381104;8371
CHUP-049;Nodal;0.9997904838709677;0.5664218958611482;2281;317;59.23681287847955;0.3951105937136205;3978.0;0.426596279537456;0.9999744272799774;12395705;1697
CHUP-049;Primary;0.9997376612903226;0.9285698601260403;1889;1364;9.486832980505138;0.866663934090257;23033.0;0.9179872357052924;0.99988979529476;12375603;21144
