SUBJECT;LABEL;ACURCY;DICE;FN;FP;HDRFDST;JACRD;REFVOL;SNSVTY;SPCFTY;TN;TP
CHUM-006;Nodal;0.9996787903225807;0.8609433369409629;2863;1120;6.164414002968976;0.7558389014896095;15193.0;0.8115579543210689;0.9999095666165811;12383687;12330
CHUM-006;Primary;0.9997995967741935;0.7283262271783099;2334;151;7.0710678118654755;0.5727303988995873;5665.0;0.5879964695498676;0.9999878170147894;12394184;3331
CHUM-011;Nodal;0.9994745161290323;0.8178565438586684;3520;2996;6.082762530298219;0.6918420430361788;18149.0;0.8060499201057909;0.9997580329467702;12378855;14629
CHUM-011;Primary;0.9990799193548388;0.8165195156076615;10712;697;7.3484692283495345;0.689930697105585;36098.0;0.7032522577428112;0.9999436262112075;12363205;25386
CHUM-014;Nodal;0.9995963709677419;0.7198119016962437;4869;136;9.0;0.5622704215497638;11298.0;0.5690387679235263;0.9999890222559232;12388566;6429
CHUM-014;Primary;0.9995123387096774;0.37121763543724656;5907;140;28.74021572639983;0.2279111338100102;7692.0;0.23205928237129486;0.9999887026694301;12392168;1785
CHUM-015;Nodal;0.9997485483870968;0.516439205955335;3115;3;7.483314773547883;0.3481078820823751;4780.0;0.348326359832636;0.999999757971218;12395217;1665
CHUM-015;Primary;0.9995439516129032;0.3515651874785002;5477;178;18.973665961010276;0.2132721202003339;7010.0;0.2186875891583452;0.9999856370415856;12392812;1533
CHUM-039;Nodal;0.9984120967741935;0.6672412627594132;17612;2078;68.21290200541243;0.500646699297507;37353.0;0.5284983803175113;0.999831913019922;12360569;19741
CHUM-039;Primary;0.9998246774193549;0.817003367003367;664;1510;31.28897569432403;0.6906218870072577;5517.0;0.8796447344571325;0.9998781716026397;12392973;4853
CHUM-065;Nodal;0.99838;0.09586821496084257;17071;3017;40.47221268969612;0.050347468444192314;18136.0;0.05872298191442435;0.9997563371718508;12378847;1065
CHUM-065;Primary;0.9995966935483871;0.6536463744026595;214;4787;8.0;0.48549382716049383;4933.0;0.9566186904520576;0.9996137979730162;12390280;4719
CHUP-012;Nodal;0.9991425806451613;0.4945807187678266;23;10609;62.8410693734599;0.3285335354300872;5225.0;0.9955980861244019;0.9991440748218503;12384166;5202
CHUP-012;Primary;0.9998691129032258;0.9118557540867865;922;701;2.8284271247461903;0.8379916150928329;9317.0;0.9010411076526779;0.9999434252332983;12389982;8395
CHUP-017;Nodal;0.999001129032258;0.887110592610146;8152;4234;7.483314773547883;0.797123763349276;56818.0;0.8565243408778908;0.9996569766207773;12338948;48666
CHUP-017;Primary;0.9997033064516129;0.66569741026806;2096;1583;8.06225774829855;0.4989103786434214;5759.0;0.6360479249869769;0.9998722793916949;12392658;3663
CHUP-018;Nodal;0.9988945967741936;0.8052955297660478;1573;12134;45.221676218380054;0.6740541697381875;29919.0;0.9474247133928273;0.9990190848386522;12357947;28346
CHUP-018;Primary;0.9994912096774193;0.24379719525350593;5261;1048;24.331050121192877;0.13882063882063883;6278.0;0.1619942656897101;0.9999154410595945;12392674;1017
CHUP-020;Nodal;0.9997678225806451;0.0;0;2879;inf;0.0;0.0;-inf;0.9997678225806451;12397121;0
CHUP-020;Primary;0.9998004838709678;0.7866137657409005;2365;109;8.12403840463596;0.6482797839067387;6925.0;0.6584837545126354;0.9999912047655647;12392966;4560
CHUP-023;Nodal;0.9993637903225806;0.7970048632375267;2026;5863;39.153543900903784;0.6625171115674195;17513.0;0.8843145092217211;0.999526508689248;12376624;15487
