SUBJECT;LABEL;ACURCY;DICE;FN;FP;HDRFDST;JACRD;REFVOL;SNSVTY;SPCFTY;TN;TP
CHUM-006;Nodal;0.9987747580645161;0.0;15193;0;inf;0.0;15193.0;0.0;1.0;12384807;0
CHUM-006;Primary;0.9995426612903225;0.0;5665;6;187.66725873204416;0.0;5665.0;0.0;0.9999995159078724;12394329;0
CHUM-011;Nodal;0.9985358870967742;0.0;18149;6;167.4365551485099;0.0;18149.0;0.0;0.9999995154197866;12381845;0
CHUM-011;Primary;0.9970878225806452;0.0;36098;13;134.97777594848716;0.0;36098.0;0.0;0.9999989485520024;12363889;0
CHUM-014;Nodal;0.9990878225806452;0.0;11298;13;148.34082378091338;0.0;11298.0;0.0;0.9999989506568162;12388689;0
CHUM-014;Primary;0.9993796774193549;0.0;7692;0;inf;0.0;7692.0;0.0;1.0;12392308;0
CHUM-015;Nodal;0.9996142741935484;0.0;4780;3;67.83067152844649;0.0;4780.0;0.0;0.999999757971218;12395217;0
CHUM-015;Primary;0.9994133064516129;0.0;7010;265;216.28915830434036;0.0;7010.0;0.0;0.9999786169439336;12392725;0
CHUM-039;Nodal;0.9969876612903226;0.0;37353;0;inf;0.0;37353.0;0.0;1.0;12362647;0
CHUM-039;Primary;0.9995550806451613;0.0;5517;0;inf;0.0;5517.0;0.0;1.0;12394483;0
CHUM-065;Nodal;0.9985374193548388;0.0;18136;0;inf;0.0;18136.0;0.0;1.0;12381864;0
CHUM-065;Primary;0.9996021774193549;0.0;4933;0;inf;0.0;4933.0;0.0;1.0;12395067;0
CHUP-012;Nodal;0.999578629032258;0.0;5225;0;inf;0.0;5225.0;0.0;1.0;12394775;0
CHUP-012;Primary;0.9992486290322581;0.0;9317;0;inf;0.0;9317.0;0.0;1.0;12390683;0
CHUP-017;Nodal;0.9954179032258065;0.0;56818;0;inf;0.0;56818.0;0.0;1.0;12343182;0
CHUP-017;Primary;0.999535564516129;0.0;5759;0;inf;0.0;5759.0;0.0;1.0;12394241;0
CHUP-018;Nodal;0.9975871774193549;0.0;29919;0;inf;0.0;29919.0;0.0;1.0;12370081;0
CHUP-018;Primary;0.9994937096774194;0.0;6278;0;inf;0.0;6278.0;0.0;1.0;12393722;0
CHUP-020;Nodal;1.0;1.0;0;0;inf;-inf;0.0;-inf;1.0;12400000;0
CHUP-020;Primary;0.9994413709677419;0.0;6925;2;156.31378697990783;0.0;6925.0;0.0;0.9999998386195517;12393073;0
CHUP-023;Nodal;0.9985876612903226;0.0;17513;0;inf;0.0;17513.0;0.0;1.0;12382487;0
CHUP-023;Primary;0.9992768548387096;0.0;8897;70;241.69609016283238;0.0;8897.0;0.0;0.9999943507853982;12391033;0
CHUP-024;Nodal;0.9999804838709677;0.0;242;0;inf;0.0;242.0;0.0;1.0;12399758;0
CHUP-024;Primary;0.9973820967741935;0.0;32462;0;inf;0.0;32462.0;0.0;1.0;12367538;0
CHUP-025;Nodal;0.999678629032258;0.0;3985;0;inf;0.0;3985.0;0.0;1.0;12396015;0
CHUP-025;Primary;0.9987046774193549;0.0;16062;0;inf;0.0;16062.0;0.0;1.0;12383938;0
CHUP-049;Nodal;0.9996791935483871;0.0;3978;0;inf;0.0;3978.0;0.0;1.0;12396022;0
CHUP-049;Primary;0.9981425;0.0;23033;0;inf;0.0;23033.0;0.0;1.0;12376967;0
CHUP-052;Nodal;0.9986074193548387;0.0;17268;0;inf;0.0;17268.0;0.0;1.0;12382732;0
CHUP-052;Primary;0.998496935483871;0.0;18637;1;123.49493916756265;0.0;18637.0;0.0;0.9999999192334479;12381362;0
CHUP-065;Nodal;0.9970475806451613;0.0;36602;8;164.45364088398895;0.0;36602.0;0.0;0.9999993529287013;12363390;0
CHUP-065;Primary;0.9998824193548387;0.0;1458;0;inf;0.0;1458.0;0.0;1.0;12398542;0
CHUS-006;Nodal;0.9991367741935484;0.0;10704;0;inf;0.0;10704.0;0.0;1.0;12389296;0
CHUS-006;Primary;0.9994324193548387;0.0;7038;0;inf;0.0;7038.0;0.0;1.0;12392962;0
CHUS-007;Nodal;0.9996562096774193;0.0;4263;0;inf;0.0;4263.0;0.0;1.0;12395737;0
CHUS-007;Primary;0.9992614516129033;0.0;9156;2;197.8433723934163;0.0;9156.0;0.0;0.9999998385904947;12390842;0
CHUS-015;Nodal;1.0;1.0;0;0;inf;-inf;0.0;-inf;1.0;12400000;0
CHUS-015;Primary;0.9997866129032258;0.0;2646;0;inf;0.0;2646.0;0.0;1.0;12397354;0
CHUS-020;Nodal;0.998118064516129;0.0;23336;0;inf;0.0;23336.0;0.0;1.0;12376664;0
CHUS-020;Primary;0.9995479032258064;0.0;5606;0;inf;0.0;5606.0;0.0;1.0;12394394;0
CHUS-042;Nodal;0.9994227419354839;0.0;7158;0;inf;0.0;7158.0;0.0;1.0;12392842;0
CHUS-042;Primary;0.9993710483870968;0.0;7647;152;172.3629890666787;0.0;7647.0;0.0;0.9999877343713498;12392201;0
CHUS-081;Nodal;0.9997967741935484;0.0;2520;0;inf;0.0;2520.0;0.0;1.0;12397480;0
CHUS-081;Primary;0.9978765322580645;0.0;26331;0;inf;0.0;26331.0;0.0;1.0;12373669;0
CHUV-029;Nodal;0.9928258064516129;0.0;88960;0;inf;0.0;88960.0;0.0;1.0;12311040;0
CHUV-029;Primary;0.9994921774193548;0.0;6297;0;inf;0.0;6297.0;0.0;1.0;12393703;0
CHUV-051;Nodal;0.9967156451612903;0.0;40726;0;inf;0.0;40726.0;0.0;1.0;12359274;0
CHUV-051;Primary;0.9993399193548387;0.0;8185;0;inf;0.0;8185.0;0.0;1.0;12391815;0
HGJ-050;Nodal;0.9972048141891892;0.0;33095;0;inf;0.0;33095.0;0.0;1.0;11806905;0
HGJ-050;Primary;0.997654054054054;0.0;27776;0;inf;0.0;27776.0;0.0;1.0;11812224;0
HGJ-055;Nodal;0.9971634290540541;0.0;33585;0;inf;0.0;33585.0;0.0;1.0;11806415;0
